StimuliName,user,FixationDuration,count
05_Frankfurt_S1.jpg,p16,16617,55
05_Frankfurt_S1.jpg,p17,36566,122
05_Frankfurt_S1.jpg,p20,10095,41
05_Frankfurt_S1.jpg,p21,10671,31
05_Frankfurt_S1.jpg,p24,13755,49
05_Frankfurt_S1.jpg,p25,7960,23
05_Frankfurt_S1.jpg,p28,18267,65
05_Frankfurt_S1.jpg,p29,12171,49
05_Frankfurt_S1.jpg,p32,19986,62
05_Frankfurt_S1.jpg,p33,10142,43
05_Frankfurt_S1.jpg,p36,19184,59
05_Frankfurt_S1.jpg,p37,16586,58
05_Frankfurt_S1.jpg,p4,13290,51
05_Frankfurt_S1.jpg,p40,8426,33
05_Frankfurt_S1.jpg,p5,16301,55
05_Frankfurt_S1.jpg,p8,12104,41
05_Frankfurt_S1.jpg,p9,9926,31
05_Frankfurt_S2.jpg,p10,24767,68
05_Frankfurt_S2.jpg,p11,10524,30
05_Frankfurt_S2.jpg,p14,14823,45
05_Frankfurt_S2.jpg,p15,34822,87
05_Frankfurt_S2.jpg,p18,11072,41
05_Frankfurt_S2.jpg,p19,10990,34
05_Frankfurt_S2.jpg,p2,17903,49
05_Frankfurt_S2.jpg,p22,15669,41
05_Frankfurt_S2.jpg,p23,28246,92
05_Frankfurt_S2.jpg,p26,17887,49
05_Frankfurt_S2.jpg,p27,46882,130
05_Frankfurt_S2.jpg,p3,8024,24
05_Frankfurt_S2.jpg,p30,15717,48
05_Frankfurt_S2.jpg,p31,6941,26
05_Frankfurt_S2.jpg,p34,19151,58
05_Frankfurt_S2.jpg,p35,23991,63
05_Frankfurt_S2.jpg,p38,25747,74
05_Frankfurt_S2.jpg,p39,17655,54
05_Frankfurt_S2.jpg,p6,15088,40
05_Frankfurt_S2.jpg,p7,14770,40
05b_Frankfurt_S1.jpg,p10,22065,76
05b_Frankfurt_S1.jpg,p11,6078,21
05b_Frankfurt_S1.jpg,p14,15720,47
05b_Frankfurt_S1.jpg,p15,39411,118
05b_Frankfurt_S1.jpg,p18,20551,68
05b_Frankfurt_S1.jpg,p19,23411,66
05b_Frankfurt_S1.jpg,p2,38766,101
05b_Frankfurt_S1.jpg,p22,20349,50
05b_Frankfurt_S1.jpg,p23,13689,54
05b_Frankfurt_S1.jpg,p26,23197,57
05b_Frankfurt_S1.jpg,p27,26103,82
05b_Frankfurt_S1.jpg,p3,10991,38
05b_Frankfurt_S1.jpg,p30,14237,39
05b_Frankfurt_S1.jpg,p31,16370,55
05b_Frankfurt_S1.jpg,p34,18037,54
05b_Frankfurt_S1.jpg,p35,107975,313
05b_Frankfurt_S1.jpg,p38,25275,102
05b_Frankfurt_S1.jpg,p39,7811,32
05b_Frankfurt_S1.jpg,p6,7877,27
05b_Frankfurt_S1.jpg,p7,15733,51
05b_Frankfurt_S2.jpg,p1,6345,18
05b_Frankfurt_S2.jpg,p12,12624,30
05b_Frankfurt_S2.jpg,p16,13689,40
05b_Frankfurt_S2.jpg,p17,21828,57
05b_Frankfurt_S2.jpg,p20,12342,47
05b_Frankfurt_S2.jpg,p21,8227,25
05b_Frankfurt_S2.jpg,p24,14638,35
05b_Frankfurt_S2.jpg,p25,19137,53
05b_Frankfurt_S2.jpg,p28,22695,63
05b_Frankfurt_S2.jpg,p29,24303,84
05b_Frankfurt_S2.jpg,p32,11855,33
05b_Frankfurt_S2.jpg,p33,10144,46
05b_Frankfurt_S2.jpg,p36,9557,28
05b_Frankfurt_S2.jpg,p37,27842,101
05b_Frankfurt_S2.jpg,p4,15496,66
05b_Frankfurt_S2.jpg,p40,6394,22
05b_Frankfurt_S2.jpg,p5,32731,81
05b_Frankfurt_S2.jpg,p8,16866,50
05b_Frankfurt_S2.jpg,p9,10108,25
06_Hamburg_S1.jpg,p1,4314,16
06_Hamburg_S1.jpg,p12,17536,67
06_Hamburg_S1.jpg,p13,5444,21
06_Hamburg_S1.jpg,p16,5310,20
06_Hamburg_S1.jpg,p17,11172,41
06_Hamburg_S1.jpg,p20,8261,33
06_Hamburg_S1.jpg,p21,7742,26
06_Hamburg_S1.jpg,p24,7960,25
06_Hamburg_S1.jpg,p25,8356,29
06_Hamburg_S1.jpg,p28,12387,37
06_Hamburg_S1.jpg,p29,11287,46
06_Hamburg_S1.jpg,p32,8509,24
06_Hamburg_S1.jpg,p33,3315,20
06_Hamburg_S1.jpg,p36,5361,18
06_Hamburg_S1.jpg,p37,5877,22
06_Hamburg_S1.jpg,p4,5675,23
06_Hamburg_S1.jpg,p40,4613,17
06_Hamburg_S1.jpg,p5,6695,26
06_Hamburg_S1.jpg,p8,7911,23
06_Hamburg_S1.jpg,p9,5378,17
06_Hamburg_S2.jpg,p10,12422,33
06_Hamburg_S2.jpg,p11,3612,10
06_Hamburg_S2.jpg,p14,17982,56
06_Hamburg_S2.jpg,p15,16372,40
06_Hamburg_S2.jpg,p18,13319,35
06_Hamburg_S2.jpg,p19,6278,21
06_Hamburg_S2.jpg,p2,10607,30
06_Hamburg_S2.jpg,p22,12406,32
06_Hamburg_S2.jpg,p23,18868,52
06_Hamburg_S2.jpg,p26,5712,19
06_Hamburg_S2.jpg,p27,9760,32
06_Hamburg_S2.jpg,p3,4528,15
06_Hamburg_S2.jpg,p30,3847,14
06_Hamburg_S2.jpg,p31,3647,15
06_Hamburg_S2.jpg,p34,11174,46
06_Hamburg_S2.jpg,p35,12938,41
06_Hamburg_S2.jpg,p38,17768,47
06_Hamburg_S2.jpg,p39,7559,30
06_Hamburg_S2.jpg,p6,6695,22
06_Hamburg_S2.jpg,p7,5362,17
06b_Hamburg_S1.jpg,p10,12388,39
06b_Hamburg_S1.jpg,p11,7911,28
06b_Hamburg_S1.jpg,p14,10303,38
06b_Hamburg_S1.jpg,p15,25964,74
06b_Hamburg_S1.jpg,p18,7379,19
06b_Hamburg_S1.jpg,p19,9824,29
06b_Hamburg_S1.jpg,p2,10723,28
06b_Hamburg_S1.jpg,p22,8874,20
06b_Hamburg_S1.jpg,p23,6309,24
06b_Hamburg_S1.jpg,p26,7227,20
06b_Hamburg_S1.jpg,p27,13650,47
06b_Hamburg_S1.jpg,p3,15071,57
06b_Hamburg_S1.jpg,p30,3532,15
06b_Hamburg_S1.jpg,p31,7292,31
06b_Hamburg_S1.jpg,p34,10207,29
06b_Hamburg_S1.jpg,p35,23245,76
06b_Hamburg_S1.jpg,p38,21134,47
06b_Hamburg_S1.jpg,p39,9658,52
06b_Hamburg_S1.jpg,p6,5310,23
06b_Hamburg_S1.jpg,p7,8057,31
06b_Hamburg_S2.jpg,p1,6294,23
06b_Hamburg_S2.jpg,p12,6943,25
06b_Hamburg_S2.jpg,p13,8559,34
06b_Hamburg_S2.jpg,p16,6793,27
06b_Hamburg_S2.jpg,p17,10308,29
06b_Hamburg_S2.jpg,p20,7829,31
06b_Hamburg_S2.jpg,p21,11640,38
06b_Hamburg_S2.jpg,p24,6061,20
06b_Hamburg_S2.jpg,p25,12872,44
06b_Hamburg_S2.jpg,p28,10906,36
06b_Hamburg_S2.jpg,p29,14903,52
06b_Hamburg_S2.jpg,p32,9991,29
06b_Hamburg_S2.jpg,p33,4697,19
06b_Hamburg_S2.jpg,p36,17420,38
06b_Hamburg_S2.jpg,p37,14986,46
06b_Hamburg_S2.jpg,p4,8776,33
06b_Hamburg_S2.jpg,p40,8209,32
06b_Hamburg_S2.jpg,p5,8560,28
06b_Hamburg_S2.jpg,p8,13324,30
06b_Hamburg_S2.jpg,p9,10805,36
07_Moskau_S1.jpg,p1,6861,20
07_Moskau_S1.jpg,p12,12337,38
07_Moskau_S1.jpg,p13,12688,45
07_Moskau_S1.jpg,p16,28875,104
07_Moskau_S1.jpg,p17,12989,32
07_Moskau_S1.jpg,p20,31038,108
07_Moskau_S1.jpg,p21,33624,93
07_Moskau_S1.jpg,p24,21099,72
07_Moskau_S1.jpg,p25,23827,66
07_Moskau_S1.jpg,p28,38844,120
07_Moskau_S1.jpg,p29,9921,33
07_Moskau_S1.jpg,p32,10089,32
07_Moskau_S1.jpg,p33,10740,48
07_Moskau_S1.jpg,p36,25080,79
07_Moskau_S1.jpg,p37,17497,55
07_Moskau_S1.jpg,p4,44268,173
07_Moskau_S1.jpg,p40,22097,85
07_Moskau_S1.jpg,p5,18878,63
07_Moskau_S1.jpg,p8,20130,59
07_Moskau_S1.jpg,p9,14336,47
07_Moskau_S2.jpg,p10,12989,39
07_Moskau_S2.jpg,p11,5095,19
07_Moskau_S2.jpg,p14,32304,100
07_Moskau_S2.jpg,p15,30328,75
07_Moskau_S2.jpg,p18,22364,54
07_Moskau_S2.jpg,p19,13905,32
07_Moskau_S2.jpg,p2,13772,47
07_Moskau_S2.jpg,p22,12373,30
07_Moskau_S2.jpg,p23,40018,130
07_Moskau_S2.jpg,p26,16158,39
07_Moskau_S2.jpg,p27,50480,144
07_Moskau_S2.jpg,p3,18718,62
07_Moskau_S2.jpg,p30,22547,63
07_Moskau_S2.jpg,p31,10157,43
07_Moskau_S2.jpg,p34,17512,62
07_Moskau_S2.jpg,p35,79243,181
07_Moskau_S2.jpg,p38,18767,71
07_Moskau_S2.jpg,p39,18167,56
07_Moskau_S2.jpg,p6,15267,50
07_Moskau_S2.jpg,p7,26465,83
07b_Moskau_S1.jpg,p10,40731,103
07b_Moskau_S1.jpg,p11,12641,39
07b_Moskau_S1.jpg,p14,21907,68
07b_Moskau_S1.jpg,p15,50973,131
07b_Moskau_S1.jpg,p18,23948,67
07b_Moskau_S1.jpg,p19,43847,116
07b_Moskau_S1.jpg,p2,47341,119
07b_Moskau_S1.jpg,p22,10857,21
07b_Moskau_S1.jpg,p23,46341,191
07b_Moskau_S1.jpg,p26,24682,52
07b_Moskau_S1.jpg,p27,59528,157
07b_Moskau_S1.jpg,p3,27543,95
07b_Moskau_S1.jpg,p30,42014,111
07b_Moskau_S1.jpg,p31,21480,76
07b_Moskau_S1.jpg,p34,27574,83
07b_Moskau_S1.jpg,p35,84881,227
07b_Moskau_S1.jpg,p38,17585,65
07b_Moskau_S1.jpg,p39,25009,92
07b_Moskau_S1.jpg,p6,26380,78
07b_Moskau_S1.jpg,p7,43043,133
07b_Moskau_S2.jpg,p1,10739,41
